# RD|Action Code|State Code|County Code|Site ID|Parameter|POC|Sample Duration|Unit|Method|Date|Start Time|Sample Value|Null Data Code|Sampling Frequency|Monitor Protocol (MP) ID|Qualifier - 1|Qualifier - 2|Qualifier - 3|Qualifier - 4|Qualifier - 5|Qualifier - 6|Qualifier - 7|Qualifier - 8|Qualifier - 9|Qualifier - 10|Alternate Method Detectable Limit|Uncertainty
# RC|Action Code|State Code|County Code|Site ID|Parameter|POC|Unit|Method|Year|Period|Number of Samples|Composite Type|Sample Value|Monitor Protocol (MP) ID|Qualifier - 1|Qualifier - 2|Qualifier - 3|Qualifier - 4|Qualifier - 5|Qualifier - 6|Qualifier - 7|Qualifier - 8|Qualifier - 9|Qualifier - 10|Alternate Method Detectable Limit|Uncertainty
RD|I|06|079|2007|61103|1|1|012|061|20180103|17:00|3.7|||||||||||||||
RD|I|06|079|2007|61103|1|1|012|061|20180103|18:00|0.5|||||||||||||||
RD|I|06|079|2007|61103|1|1|012|061|20180103|19:00|0.6|||||||||||||||
RD|I|06|079|2007|61103|1|1|012|061|20180103|20:00|0.4|||||||||||||||
RD|I|06|079|2007|61103|1|1|012|061|20180103|21:00|1.1|||||||||||||||
RD|I|06|079|2007|61103|1|1|012|061|20180103|22:00|4.3|||||||||||||||
RD|I|06|079|2007|61103|1|1|012|061|20180103|23:00|6.5|||||||||||||||
RD|I|06|079|2007|61103|1|1|012|061|20180104|00:00|3.6|||||||||||||||
RD|I|06|079|2007|61103|1|1|012|061|20180104|01:00|2.4|||||||||||||||
RD|I|06|079|2007|61103|1|1|012|061|20180104|02:00|1.3|||||||||||||||
RD|I|06|079|2007|61103|1|1|012|061|20180104|03:00|5.4|||||||||||||||
RD|I|06|079|2007|61103|1|1|012|061|20180104|04:00|5.4|||||||||||||||
RD|I|06|079|2007|61103|1|1|012|061|20180104|05:00|4.1|||||||||||||||
RD|I|06|079|2007|61103|1|1|012|061|20180104|06:00|3.3|||||||||||||||
RD|I|06|079|2007|61103|1|1|012|061|20180104|07:00|2.5|||||||||||||||
RD|I|06|079|2007|61103|1|1|012|061|20180104|08:00|1.8|||||||||||||||
RD|I|06|079|2007|61103|1|1|012|061|20180104|09:00|1.7|||||||||||||||
RD|I|06|079|2007|61103|1|1|012|061|20180104|10:00|2.3|||||||||||||||
RD|I|06|079|2007|61103|1|1|012|061|20180104|11:00|3|||||||||||||||
RD|I|06|079|2007|61103|1|1|012|061|20180104|12:00|1.8|||||||||||||||
RD|I|06|079|2007|61103|1|1|012|061|20180104|13:00|3.6|||||||||||||||
RD|I|06|079|2007|61103|1|1|012|061|20180104|14:00|3.8|||||||||||||||
RD|I|06|079|2007|61103|1|1|012|061|20180104|15:00|6.2|||||||||||||||
RD|I|06|079|2007|61103|1|1|012|061|20180104|16:00|3.2|||||||||||||||
RD|I|06|079|2007|61103|1|1|012|061|20180104|17:00|1.6|||||||||||||||
RD|I|06|079|2007|61103|1|1|012|061|20180104|18:00|1.4|||||||||||||||
RD|I|06|079|2007|61103|1|1|012|061|20180104|19:00|1.8|||||||||||||||
RD|I|06|079|2007|61103|1|1|012|061|20180104|20:00|3.6|||||||||||||||
RD|I|06|079|2007|61103|1|1|012|061|20180104|21:00|3.7|||||||||||||||
RD|I|06|079|2007|61103|1|1|012|061|20180104|22:00|1.7|||||||||||||||
RD|I|06|079|2007|61103|1|1|012|061|20180104|23:00|1.4|||||||||||||||
RD|I|06|079|2007|61103|1|1|012|061|20180105|00:00|0.7|||||||||||||||
RD|I|06|079|2007|61103|1|1|012|061|20180105|01:00|2.4|||||||||||||||
RD|I|06|079|2007|61103|1|1|012|061|20180105|02:00|2.5|||||||||||||||
RD|I|06|079|2007|61103|1|1|012|061|20180105|03:00|0.9|||||||||||||||
RD|I|06|079|2007|61103|1|1|012|061|20180105|04:00|0.6|||||||||||||||
RD|I|06|079|2007|61103|1|1|012|061|20180105|05:00|0.1|||||||||||||||
RD|I|06|079|2007|61103|1|1|012|061|20180105|06:00|0.7|||||||||||||||
RD|I|06|079|2007|61103|1|1|012|061|20180105|07:00|0.4|||||||||||||||
RD|I|06|079|2007|61103|1|1|012|061|20180105|08:00|4.6|||||||||||||||
RD|I|06|079|2007|61103|1|1|012|061|20180105|09:00|3.7|||||||||||||||
RD|I|06|079|2007|61103|1|1|012|061|20180105|10:00|1.9|||||||||||||||
RD|I|06|079|2007|61103|1|1|012|061|20180105|11:00|2.4|||||||||||||||
RD|I|06|079|2007|61103|1|1|012|061|20180105|12:00|4.7|||||||||||||||
RD|I|06|079|2007|61103|1|1|012|061|20180105|13:00|8.2|||||||||||||||
RD|I|06|079|2007|61103|1|1|012|061|20180105|14:00|5.6|||||||||||||||
RD|I|06|079|2007|61103|1|1|012|061|20180105|15:00|2.8|||||||||||||||
RD|I|06|079|2007|61103|1|1|012|061|20180105|16:00|0.8|||||||||||||||
RD|I|06|079|2007|61103|1|1|012|061|20180105|17:00|2.7|||||||||||||||
RD|I|06|079|2007|61103|1|1|012|061|20180105|18:00|0.5|||||||||||||||
RD|I|06|079|2007|61103|1|1|012|061|20180105|19:00|2.8|||||||||||||||
RD|I|06|079|2007|61103|1|1|012|061|20180105|20:00|2.8|||||||||||||||
RD|I|06|079|2007|61103|1|1|012|061|20180105|21:00|1.8|||||||||||||||
RD|I|06|079|2007|61103|1|1|012|061|20180105|22:00|2.3|||||||||||||||
RD|I|06|079|2007|61103|1|1|012|061|20180105|23:00|3|||||||||||||||
RD|I|06|079|2007|61103|1|1|012|061|20180106|00:00|1.3|||||||||||||||
RD|I|06|079|2007|61103|1|1|012|061|20180106|01:00|1.7|||||||||||||||
RD|I|06|079|2007|61103|1|1|012|061|20180106|02:00|0.9|||||||||||||||
RD|I|06|079|2007|61103|1|1|012|061|20180106|03:00|1.1|||||||||||||||
RD|I|06|079|2007|61103|1|1|012|061|20180106|04:00|1.4|||||||||||||||
RD|I|06|079|2007|61103|1|1|012|061|20180106|05:00|1.3|||||||||||||||
RD|I|06|079|2007|61103|1|1|012|061|20180106|06:00|1.1|||||||||||||||
RD|I|06|079|2007|61103|1|1|012|061|20180106|07:00|0.6|||||||||||||||
RD|I|06|079|2007|61103|1|1|012|061|20180106|08:00|1.4|||||||||||||||
RD|I|06|079|2007|61103|1|1|012|061|20180106|09:00|2.5|||||||||||||||
RD|I|06|079|2007|61103|1|1|012|061|20180106|10:00|4.3|||||||||||||||
RD|I|06|079|2007|61103|1|1|012|061|20180106|11:00|2.7|||||||||||||||
RD|I|06|079|2007|61103|1|1|012|061|20180106|12:00|1.8|||||||||||||||
RD|I|06|079|2007|61103|1|1|012|061|20180106|13:00|4.1|||||||||||||||
RD|I|06|079|2007|61103|1|1|012|061|20180106|14:00|4.7|||||||||||||||
RD|I|06|079|2007|61103|1|1|012|061|20180106|15:00|4.6|||||||||||||||
RD|I|06|079|2007|61103|1|1|012|061|20180106|16:00|4.3|||||||||||||||
RD|I|06|079|2007|61103|1|1|012|061|20180106|17:00|0.9|||||||||||||||
RD|I|06|079|2007|61103|1|1|012|061|20180106|18:00|1.7|||||||||||||||
RD|I|06|079|2007|61103|1|1|012|061|20180106|19:00|0.8|||||||||||||||
RD|I|06|079|2007|61103|1|1|012|061|20180106|20:00|1.8|||||||||||||||
RD|I|06|079|2007|61103|1|1|012|061|20180106|21:00|2.2|||||||||||||||
RD|I|06|079|2007|61103|1|1|012|061|20180106|22:00|1.6|||||||||||||||
RD|I|06|079|2007|61103|1|1|012|061|20180106|23:00|0.4|||||||||||||||
RD|I|06|079|2007|61103|1|1|012|061|20180107|00:00|0.6|||||||||||||||
RD|I|06|079|2007|61103|1|1|012|061|20180107|01:00|0.7|||||||||||||||
RD|I|06|079|2007|61103|1|1|012|061|20180107|02:00|1.1|||||||||||||||
RD|I|06|079|2007|61103|1|1|012|061|20180107|03:00|2.7|||||||||||||||
RD|I|06|079|2007|61103|1|1|012|061|20180107|04:00|2.3|||||||||||||||
RD|I|06|079|2007|61103|1|1|012|061|20180107|05:00|2.4|||||||||||||||
RD|I|06|079|2007|61103|1|1|012|061|20180107|06:00|2.3|||||||||||||||
RD|I|06|079|2007|61103|1|1|012|061|20180107|07:00|4|||||||||||||||
